C4              0.000 0.770
C4H             2.000 0.770
C4HH            2.000 0.770
C4HHH           2.000 0.770
CPRO            2.000 0.770
C3              1.700 0.770
C3H             1.850 0.770
C3HH            1.850 0.770
S2              1.850 1.040
S2H             2.000 1.040
O1              1.400 0.660
O2H             1.600 0.660
O1O2H           1.500 0.660
N4              0.000 0.700
N4H             2.000 0.700
N4HH            2.000 0.700
N4HHH           2.000 0.700
N3              1.500 0.700
N3H             1.700 0.700
N3HH            1.800 0.700
DEFAULT         1.000 0.500
